City,Temperature_CÂ°,Weather_description,Humidity_%,Wind_speed_m/s,Time
Milan,16.58,overcast clouds,89,0.45,2024-10-24 15:49:24
Bologna,15.89,overcast clouds,97,0.45,2024-10-24 15:49:24
Cagliari,23.26,overcast clouds,88,4.02,2024-10-24 15:49:24
Milan,16.55,overcast clouds,89,0.45,2024-10-24 15:52:11
Bologna,15.76,overcast clouds,96,2.34,2024-10-24 15:52:11
Cagliari,23.26,overcast clouds,88,4.02,2024-10-24 15:52:11
Milan,16.47,overcast clouds,89,2.8,2024-10-24 16:08:01
Bologna,16.97,overcast clouds,96,2.34,2024-10-24 16:08:01
Cagliari,22.46,overcast clouds,81,6.9,2024-10-24 16:08:01
Milan,16.55,broken clouds,88,3.09,2024-10-24 17:08:01
Bologna,15.84,broken clouds,96,1.03,2024-10-24 17:08:01
Cagliari,22.78,scattered clouds,80,7.2,2024-10-24 17:08:01
Milan,16.25,broken clouds,88,3.09,2024-10-24 18:08:01
Bologna,15.93,broken clouds,96,1.03,2024-10-24 18:08:01
Cagliari,22.62,scattered clouds,81,7.72,2024-10-24 18:08:01
Milan,16.04,broken clouds,88,3.6,2024-10-24 19:08:01
Bologna,15.85,mist,96,1.54,2024-10-24 19:08:01
Cagliari,22.06,scattered clouds,83,7.72,2024-10-24 19:08:01
Milan,15.73,broken clouds,89,3.09,2024-10-24 20:08:01
Bologna,15.77,drizzle,96,1.54,2024-10-24 20:08:01
Cagliari,22.06,scattered clouds,83,6.69,2024-10-24 20:08:01
Milan,15.46,broken clouds,88,3.09,2024-10-24 21:08:01
Bologna,15.72,mist,96,0.51,2024-10-24 21:08:01
Cagliari,22.06,scattered clouds,83,6.69,2024-10-24 21:08:01
Milan,15.48,broken clouds,89,3.13,2024-10-24 22:08:01
Bologna,15.68,mist,96,1.54,2024-10-24 22:08:01
Cagliari,22.06,scattered clouds,83,7.2,2024-10-24 22:08:01
Milan,15.29,broken clouds,89,3.09,2024-10-24 23:08:03
Bologna,15.68,mist,96,2.06,2024-10-24 23:08:03
Cagliari,21.71,scattered clouds,84,6.17,2024-10-24 23:08:03
Milan,14.88,broken clouds,90,3.09,2024-10-25 00:08:01
Bologna,15.67,fog,96,1.03,2024-10-25 00:08:01
Cagliari,21.9,scattered clouds,84,6.69,2024-10-25 00:08:01
Milan,14.91,light rain,91,2.57,2024-10-25 01:08:01
Bologna,15.55,overcast clouds,96,1.58,2024-10-25 01:08:01
Cagliari,21.9,scattered clouds,84,5.66,2024-10-25 01:08:01
Milan,14.82,broken clouds,91,3.6,2024-10-25 02:08:01
Bologna,15.59,overcast clouds,96,1.17,2024-10-25 02:08:01
Cagliari,22.06,scattered clouds,83,6.17,2024-10-25 02:08:01
Milan,14.75,light rain,91,2.24,2024-10-25 03:08:01
Bologna,15.13,overcast clouds,96,0.45,2024-10-25 03:08:01
Cagliari,21.9,scattered clouds,84,5.66,2024-10-25 03:08:01
Milan,14.6,broken clouds,92,2.57,2024-10-25 04:08:01
Bologna,15.13,overcast clouds,96,1.11,2024-10-25 04:08:01
Cagliari,22.06,scattered clouds,83,4.63,2024-10-25 04:08:01
Milan,14.53,broken clouds,91,2.06,2024-10-25 05:08:01
Bologna,15.18,overcast clouds,97,0.89,2024-10-25 05:08:01
Cagliari,21.9,scattered clouds,83,5.66,2024-10-25 05:08:01
Milan,14.52,broken clouds,91,2.57,2024-10-25 06:08:01
Bologna,15.28,fog,96,1.03,2024-10-25 06:08:01
Cagliari,21.71,scattered clouds,84,5.14,2024-10-25 06:08:01
Milan,14.46,broken clouds,91,2.24,2024-10-25 07:08:01
Bologna,15.13,fog,97,1.54,2024-10-25 07:08:01
Cagliari,21.71,scattered clouds,82,5.66,2024-10-25 07:08:01
Milan,14.46,scattered clouds,91,2.06,2024-10-25 08:08:01
Bologna,15.18,fog,97,2.06,2024-10-25 08:08:01
Cagliari,21.71,few clouds,82,6.69,2024-10-25 08:08:01
Milan,14.81,mist,91,2.57,2024-10-25 09:08:01
Bologna,15.4,fog,96,1.54,2024-10-25 09:08:01
Cagliari,22.06,scattered clouds,82,6.69,2024-10-25 09:08:01
Milan,14.92,broken clouds,91,2.06,2024-10-25 10:08:01
Bologna,15.6,fog,97,1.54,2024-10-25 10:08:01
Cagliari,22.25,scattered clouds,82,7.2,2024-10-25 10:08:01
Milan,15.5,light rain,89,2.57,2024-10-25 11:08:03
Bologna,15.92,fog,97,2.57,2024-10-25 11:08:03
Cagliari,22.93,scattered clouds,78,7.2,2024-10-25 11:08:03
Milan,15.56,light rain,89,2.06,2024-10-25 12:08:01
Bologna,15.93,fog,97,2.06,2024-10-25 12:08:01
Cagliari,22.78,broken clouds,78,7.2,2024-10-25 12:08:01
Milan,16.21,broken clouds,89,2.57,2024-10-25 14:56:02
Bologna,16.87,mist,97,2.06,2024-10-25 14:56:02
Cagliari,22.82,scattered clouds,80,7.72,2024-10-25 14:56:02
